Player,Finish,R1Pos,R2Pos,R3Pos,R1,R2,R3,R4,ToPar,TotalScore
Danny Willett,1,9,8,5,70,74,72,67,-5,283
Jordan Spieth,T2,1,1,1,66,74,73,73,-2,286
Lee Westwood,T2,13,23,8,71,75,71,69,-2,286
Dustin Johnson,T4,34,8,5,73,71,72,71,-1,287
J.B. Holmes,T4,21,15,13,72,73,74,68,-1,287
Paul Casey,T4,4,23,16,69,77,74,67,-1,287
Hideki Matsuyama,T7,13,5,3,71,72,72,73,E,288
Matthew Fitzpatrick,T7,13,33,23,71,76,74,67,E,288
Soren Kjeldsen,T7,4,5,8,69,74,74,71,E,288
Brandt Snedeker,T10,13,5,8,71,72,74,72,1,289
Daniel Berger,T10,34,8,11,73,71,74,71,1,289
Jason Day,T10,21,15,5,72,73,71,73,1,289
Justin Rose,T10,4,23,13,69,77,73,70,1,289
Rory McIlroy,T10,9,2,11,70,71,77,71,1,289
Kiradech Aphibarnrat,T15,21,8,23,72,72,77,70,3,291
Louis Oosthuizen,T15,21,47,16,72,77,71,71,3,291
Billy Horschel,T17,9,33,16,70,77,73,72,4,292
Danny Lee,T17,2,3,23,68,74,79,71,4,292
Emiliano Grillo,T17,13,23,16,71,75,74,72,4,292
Rafael Cabrera-Bello,T17,43,33,32,74,73,75,70,4,292
Brooks Koepka,T21,34,15,23,73,72,76,72,5,293
Bryson Dechambeau,T21,21,8,23,72,72,77,72,5,293
Jamie Donaldson,T21,43,23,23,74,72,75,72,5,293
Angel Cabrera,T24,34,23,13,73,73,73,75,6,294
Bernhard Langer,T24,21,15,3,72,73,70,79,6,294
Bill Haas,T24,54,47,23,75,74,72,73,6,294
Henrik Stenson,T24,21,33,43,72,75,78,69,6,294
Matt Kuchar,T24,54,42,16,75,73,72,74,6,294
Charley Hoffman,T29,13,42,23,71,77,73,74,7,295
Jimmy Walker,T29,13,23,16,71,75,74,75,7,295
Scott Piercy,T29,9,3,23,70,72,79,74,7,295
Smylie Kaufman,T29,34,15,2,73,72,69,81,7,295
Webb Simpson,T29,71,47,34,77,72,74,72,7,295
Bernd Wiesberger,T34,34,15,38,73,72,79,72,8,296
Kevin Streelman,T34,13,23,43,71,75,79,71,8,296
Sergio Garcia,T34,4,8,43,69,75,81,71,8,296
Bubba Watson,T37,54,57,48,75,75,76,71,9,297
Kevin Kisner,T37,71,47,43,77,72,76,72,9,297
Justin Thomas,T39,59,47,50,76,73,78,71,10,298
Romain Langasque,T39,43,33,56,74,73,83,68,10,298
Shane Lowry,T39,2,8,34,68,76,79,75,10,298
Adam Scott,T42,59,42,34,76,72,75,76,11,299
Anirban Lahiri,T42,59,47,38,76,73,75,75,11,299
Chris Wood,T42,21,15,16,72,73,75,79,11,299
Davis Love III,T42,34,23,32,73,73,76,77,11,299
Harris English,T42,43,33,34,74,73,76,76,11,299
Troy Merritt,T42,43,15,38,74,71,79,75,11,299
Victor Dubuisson,T42,34,47,43,73,76,76,74,11,299
Ian Poulter,T49,4,33,53,69,78,82,71,12,300
Martin Kaymer,T49,43,47,52,74,75,79,72,12,300
Patrick Reed,T49,59,47,38,76,73,75,76,12,300
Keegan Bradley,T52,43,33,38,74,73,77,77,13,301
Larry Mize,T52,59,47,50,76,73,78,74,13,301
Hunter Mahan,54,34,42,48,73,75,78,76,14,302
Cameron Smith,T55,43,33,53,74,73,82,74,15,303
Kevin Na,T55,21,23,57,72,74,85,72,15,303
Thongchai Jaidee,57,21,42,53,72,76,81,78,19,307
Byeong-Hun An,CUT,71,58,0,77,74,0,0,7,151
Marc Leishman,CUT,43,58,0,74,77,0,0,7,151
Phil Mickelson,CUT,21,58,0,72,79,0,0,7,151
Trevor Immelman,CUT,71,58,0,77,74,0,0,7,151
Vaughn Taylor,CUT,43,58,0,74,77,0,0,7,151
Branden Grace,CUT,54,63,0,75,77,0,0,8,152
Charl Schwartzel,CUT,59,63,0,76,76,0,0,8,152
David Lingmerth,CUT,77,63,0,79,73,0,0,8,152
Russell Knox,CUT,77,63,0,79,73,0,0,8,152
Tom Watson,CUT,43,63,0,74,78,0,0,8,152
Zach Johnson,CUT,21,63,0,72,80,0,0,8,152
Jim Herman,CUT,54,69,0,75,78,0,0,9,153
Chris Kirk,CUT,59,69,0,76,77,0,0,9,153
Derek Bard,CUT,59,69,0,76,77,0,0,9,153
Ernie Els,CUT,81,69,0,80,73,0,0,9,153
Graeme McDowell,CUT,21,69,0,72,81,0,0,9,153
Jason Dufner,CUT,59,69,0,76,77,0,0,9,153
Rickie Fowler,CUT,81,69,0,80,73,0,0,9,153
Vijay Singh,CUT,81,69,0,80,73,0,0,9,153
Mike Weir,CUT,59,77,0,76,78,0,0,10,154
Ryan Moore,CUT,81,78,0,80,75,0,0,11,155
Robert Streb,CUT,86,79,0,81,75,0,0,12,156
Sammy Schmitz,CUT,86,79,0,81,75,0,0,12,156
Andy Sullivan,CUT,81,81,0,80,77,0,0,13,157
Cheng Jin,CUT,77,81,0,79,78,0,0,13,157
Fabian Gomez,CUT,71,81,0,77,80,0,0,13,157
Mark O'Meara,CUT,71,81,0,77,80,0,0,13,157
Sandy Lyle,CUT,59,81,0,76,81,0,0,13,157
Darren Clarke,CUT,59,86,0,76,84,0,0,16,160
Steven Bowditch,CUT,77,87,0,79,82,0,0,17,161
Ian Woosnam,CUT,88,88,0,82,81,0,0,19,163
Paul Chaplet,CUT,89,89,0,83,82,0,0,21,165
